CIP_FIRST4,CREDLEV,WEIGHTED_AVG_STDDEV
100,3,14455.37163
100,7,18370.33747
100,17,31014.4634
101,1,25831.85108
101,3,10781.48333
101,5,16831.64435
103,3,10475.32597
105,3,10540.63792
105,5,9973.100096
106,2,14548.03427
106,3,12295.54268
106,5,11992.23774
108,5,13808.8747
109,3,8687.443678
109,5,15281.8981
110,5,15679.25976
111,5,13187.35144
112,5,13538.03057
300,7,28140.25257
300,17,19596.50413
301,3,18087.83718
301,5,13045.48651
302,3,16164.8497
302,5,15270.31488
303,5,9842.996129
305,3,8006.05198
305,5,12009.74379
306,1,12367.49886
306,5,10363.79501
400,7,15350.49142
402,3,11592.68756
402,5,13650.89427
404,5,14569.49516
405,5,12493.15499
406,5,14072.51112
499,5,15384.70688
500,7,21966.57361
500,17,21561.55515
501,5,16219.94198
502,3,38624.753
502,5,12494.3883
900,7,18445.81957
900,17,20682.66582
901,3,19175.18479
901,5,14020.61489
904,5,12508.05461
907,5,14833.63035
909,5,14021.42434
1002,3,9792.587653
1003,3,12903.50643
1100,7,30501.65875
1100,17,46078.83904
1101,1,19499.89957
1101,3,19912.1279
1101,5,25523.34207
1102,2,35312.24899
1103,3,12602.11886
1104,1,19696.37047
1104,5,18359.64239
1105,5,14053.58643
1107,3,14873.91743
1107,5,21831.62877
1109,1,21337.60599
1109,2,17931.70318
1109,3,16107.69794
1110,5,26574.72476
1203,3,18165.29573
1204,1,9438.888006
1204,2,10023.59638
1205,1,10174.61573
1205,3,8772.8001
1300,7,14126.0428
1300,17,27223.38461
1301,3,5870.363484
1304,18,25900.46772
1310,3,555.9758319
1310,5,10414.98209
1311,3,7484.9173
1312,1,10257.41201
1312,3,3055.341161
1312,5,13316.04409
1313,5,13605.3909
1314,1,11837.83741
1400,7,31278.19904
1400,17,39361.62913
1401,3,11119.51664
1401,5,19570.39102
1402,5,21178.48889
1403,5,15280.1103
1404,5,16635.25896
1405,3,14134.38825
1405,5,25467.14972
1407,3,14504.7217
1407,5,23363.94647
1408,3,9113.960183
1408,5,16169.17321
1409,3,14826.02219
1409,5,24691.93742
1410,3,7413.011093
1410,5,21556.87653
1411,5,18202.52044
1412,3,29652.04437
1412,5,26612.6326
1414,3,10939.36746
1414,5,22046.57473
1418,3,5312.65795
1418,5,23146.50149
1419,3,17007.28105
1419,5,19719.82228
1420,5,23166.36287
1421,5,16597.0806
1422,5,22499.00758
1423,3,26427.38454
1423,5,26247.77995
1425,5,36714.89071
1435,3,10231.63056
1435,5,19755.37756
1439,3,43001.39475
1439,5,25307.86355
1443,5,27159.43704
1500,1,12683.66198
1500,3,11822.27009
1500,7,28687.06987
1501,1,21426.21069
1501,2,13847.50472
1501,3,15142.08192
1502,5,19396.27379
1503,1,26631.79779
1503,3,18107.86484
1503,5,19178.201
1505,1,22253.91953
1505,2,18068.16315
1505,3,17114.29457
1506,2,22342.81543
1506,5,21410.56706
1507,2,36959.0494
1507,3,38485.38839
1507,5,22954.38885
1508,5,23280.60599
1510,5,15327.86179
1512,1,29349.43745
1513,1,21420.56538
1513,3,18700.14518
1515,3,17791.22662
1600,7,15736.82631
1600,17,17841.10781
1601,3,57526.86685
1601,5,14399.89575
1603,5,20916.5521
1604,5,15846.05251
1605,3,5693.192519
1605,5,15559.66288
1609,3,14831.04588
1609,5,15212.07388
1611,5,12660.44151
1612,5,22494.58079
1616,1,11192.16415
1616,2,9724.664022
1616,3,8428.505061
1900,7,15104.63516
1900,17,23162.69446
1901,5,13025.24699
1902,5,16131.19212
1904,5,15080.75394
1905,5,13776.96308
1907,1,10492.04793
1907,2,9818.736632
1907,3,10463.99151
1907,5,11159.57384
1909,5,13427.66005
2200,5,13112.717
2200,7,48091.16816
2201,18,62632.2699
2203,2,16803.44755
2203,3,12599.33684
2299,3,15552.49727
2300,7,16032.79996
2300,17,17051.98824
2301,3,17958.46225
2301,5,13997.51496
2313,3,12387.14154
2313,5,14285.74749
2400,7,23451.96074
2400,17,21108.54909
2401,3,14242.09897
2401,5,16649.07564
2500,7,15674.39667
2503,3,12111.37752
2600,7,21483.49164
2600,17,16672.2239
2601,3,16835.33685
2601,5,14498.18162
2602,3,21304.87775
2602,5,14184.05798
2603,5,10266.27906
2604,3,15270.80285
2604,5,12334.40471
2605,3,9874.130775
2605,5,13445.10741
2607,5,10973.09205
2608,3,18059.29713
2608,5,12957.90646
2609,5,10241.3524
2610,5,26905.52376
2613,5,12772.95705
2615,3,15745.23556
2615,5,14403.31271
2699,3,21611.19662
2700,7,30171.39781
2700,17,34279.60259
2701,3,62384.19485
2701,5,19195.05898
2703,3,40669.72907
2703,5,29238.3636
2705,3,40030.2599
2705,5,22077.11378
3000,7,24108.44387
3000,17,29872.28316
3001,5,13519.10833
3005,3,11736.27916
3017,5,12325.00019
3018,5,11425.674
3019,3,13017.24748
3019,5,10825.71978
3020,5,15935.85711
3022,5,18015.09956
3025,3,44478.06656
3033,3,12898.6393
3033,5,11123.20979
3099,1,8298.200843
3099,3,18532.52773
3099,5,13192.79587
3100,7,17251.28645
3100,17,22199.00302
3101,5,9451.500187
3103,3,15567.32329
3103,5,10470.90404
3105,3,23477.513
3105,5,14451.43262
3800,7,15035.8104
3800,17,19356.41851
3801,3,33358.54992
3801,5,16594.82405
3802,5,13908.593
4000,7,38502.10093
4000,17,32074.40059
4001,5,19778.6549
4002,5,18853.63518
4004,5,17644.95941
4005,3,18501.99618
4005,5,16402.50278
4006,5,22594.76435
4008,3,35257.33401
4008,5,22255.68046
4199,3,18374.30796
4200,7,15335.51582
4200,17,24067.56096
4201,3,18062.05781
4201,5,12990.54084
4227,5,15742.22137
4299,5,13540.76178
4300,7,27146.46645
4301,1,15483.70168
4301,2,16194.73844
4301,3,19457.93784
4301,5,14339.6227
4302,1,18749.474
4302,3,31813.78938
4302,5,38871.60627
4399,1,9301.846319
4400,5,11282.76258
4400,7,15485.61074
4400,17,34014.53849
4404,5,21204.52594
4405,5,16620.12246
4407,5,11355.75096
4500,7,21113.54111
4500,17,27735.43286
4501,3,14929.9604
4501,5,14109.19324
4502,3,14850.60743
4502,5,12529.93065
4503,5,12252.96603
4504,5,15200.14583
4506,3,20918.21572
4506,5,20220.9038
4507,1,17950.18125
4507,3,17791.22662
4507,5,15361.52498
4509,3,7413.011093
4509,5,13358.23439
4510,3,17406.80554
4510,5,16630.73692
4511,3,17791.22662
4511,5,14091.21027
4512,3,17235.25079
4512,5,18658.84302
4514,5,11845.25042
4599,5,13817.80397
4600,1,27456.68114
4600,2,45429.89718
4600,3,29572.64786
4603,1,30470.55067
4603,2,20571.59089
4604,1,20893.5069
4604,2,13967.21932
4604,3,21344.18146
4604,5,17243.60143
4605,1,49422.54495
4699,2,16506.92245
4703,3,5738.411887
4704,2,15405.71965
4704,3,11017.21709
4706,1,16987.77478
4706,2,16536.84159
4706,3,12259.97347
4799,2,13453.87383
4805,1,22656.51465
4805,2,14489.3071
4805,3,16784.68918
4807,1,49687.69182
4901,3,11552.7083
4901,5,15583.92061
5000,7,18689.68987
5000,17,20015.39902
5001,5,14282.69603
5003,5,13122.35936
5004,3,12409.90306
5004,5,14154.7526
5005,3,17539.18424
5005,5,12054.35186
5006,2,30044.93396
5006,3,12033.24856
5006,5,11808.22332
5007,3,11134.34266
5007,5,13046.00685
5009,3,58192.13708
5009,5,15311.39877
5100,3,18347.20245
5100,5,15964.95394
5100,7,29671.38807
5100,17,36374.00865
5102,5,14716.77396
5102,18,15131.66475
5104,18,57163.25032
5106,1,13467.6938
5106,2,7479.379345
5106,3,19921.52445
5106,5,18571.73718
5107,1,11617.20863
5107,2,9574.491165
5107,3,10879.82801
5107,5,17027.74719
5108,1,10710.77471
5108,2,13381.22632
5108,3,10967.75815
5109,1,15636.7291
5109,2,21765.47558
5109,3,16263.2105
5109,5,21217.90358
5110,1,8768.020025
5110,3,10801.90081
5110,5,12146.64284
5112,18,9391.252951
5115,2,8133.447393
5115,3,20031.43857
5115,5,16219.91365
5120,18,37876.39297
5122,3,9773.313824
5122,5,15549.82147
5122,6,25306.87816
5123,5,15189.22967
5123,18,17169.66055
5124,18,24615.7631
5126,1,9577.26111
5131,5,12128.51776
5133,5,11746.65738
5138,1,7959.039199
5138,2,12099.26412
5138,3,15275.07609
5138,5,18113.06209
5138,18,34547.67873
5139,1,9732.303426
5139,2,13408.92426
5139,3,9636.91442
5199,5,11092.41628
5200,7,42839.71831
5200,17,49673.09708
5201,3,13714.07052
5201,5,18226.20864
5202,1,20510.08649
5202,2,9200.288067
5202,3,15665.4543
5202,5,18458.96832
5203,1,15863.64416
5203,2,12861.4154
5203,3,13213.5049
5203,5,15047.47539
5204,1,11523.5395
5204,3,13251.85708
5206,5,17244.44252
5207,5,18984.11278
5208,3,10748.86608
5208,5,19517.33826
5209,1,12472.37406
5209,3,9261.62965
5209,5,12031.35112
5210,5,21925.70754
5211,3,19779.26152
5211,5,15865.79989
5212,1,26168.88021
5212,2,19413.46482
5212,3,20037.1491
5212,5,20292.25488
5213,5,15869.52929
5214,2,30292.15788
5214,3,13790.30922
5214,5,17140.70087
5215,1,21200.28865
5215,5,17546.30289
5215,6,14817.12657
5217,5,16761.36554
5218,5,16184.56537
5219,3,6167.625229
5220,3,5930.408874
5400,7,19472.21392
5400,17,16773.36879
5401,3,22790.78209
5401,5,14968.08155
